Sire,Year,RS,MS,SVL
CA-108,2010,5,1,682
CA-20,2007,2,1,850
CA-23,2003,2,1,943
CA-27,2006,4,2,1050
CA-40,2006,1,1,1017
CA-43,2002,3,1,935
CA-43,2005,2,1,838
CA-45,2005,1,1,927
CA-45,2006,2,1,938
CA-45 ,2003,4,1,905
CA-5,2003,3,1,850
CA-5,2006,4,2,921
CA-50,2004,1,1,951
CA-50,2006,1,1,973
CA-50,2007,1,1,984
CA-68,2003,2,1,1040
CA-68,2007,4,2,1080
CA-73,2006,2,1,793
CA-74,2005,1,1,931
CA-74,2010,1,1,986
CA-76,2003,1,1,947
CA-76,2007,1,1,991
CA-80,2007,5,1,967
CA-84,2006,7,1,991
CA-88,2005,1,1,1005
CA-9,2003,1,1,1001
CA-97,2006,2,1,987
