sex,mates,offspring
f,1,11
f,3,12
f,1,9
f,1,10
f,2,3
f,2,6
f,1,10
f,2,8
f,1,6
f,2,7
f,2,9
f,1,4
f,3,5
f,1,4
f,2,5
f,1,5
f,2,13
f,1,6
f,1,4
m,1,2
m,0,0
m,0,0
m,0,0
m,0,0
m,0,0
m,0,0
m,0,0
m,1,10
m,0,0
m,1,10
m,0,0
m,0,0
m,0,0
m,0,0
m,0,0
m,0,0
m,1,5
m,0,0
m,1,2
m,0,0
m,0,0
m,0,0
m,1,3
m,0,0
m,0,0
m,0,0
m,1,2
m,0,0
m,1,4
m,0,0
m,0,0
m,1,11
m,0,0
m,0,0
m,0,0
m,0,0
m,0,0
m,0,0
m,0,0
m,0,0
m,0,0
m,0,0
m,1,1
m,0,0
m,0,0
m,0,0
m,3,16
m,0,0
m,0,0
m,0,0
m,0,0
m,0,0
m,0,0
m,0,0
m,0,0
m,1,1
m,2,3
m,1,4
m,1,3
m,1,4
m,1,7
m,1,4
m,1,9
m,1,9
m,1,5
m,1,6
m,1,8
m,1,4
m,1,2
m,2,2
