ID,Sex,Year,RS,MS
CA-108,m,2010,5,1
CA-20,m,2007,2,1
CA-23,m,2003,2,1
CA-27,m,2006,4,2
CA-40,m,2006,1,1
CA-43,m,2002,3,1
CA-43,m,2005,2,1
CA-45,m,2005,1,1
CA-45,m,2006,2,1
CA-45 ,m,2003,4,1
CA-5,m,2003,3,1
CA-5,m,2006,4,2
CA-50,m,2004,1,1
CA-50,m,2006,1,1
CA-50,m,2007,1,1
CA-68,m,2003,2,1
CA-68,m,2007,4,2
CA-73,m,2006,2,1
CA-74,m,2005,1,1
CA-74,m,2010,1,1
CA-76,m,2003,1,1
CA-76,m,2007,1,1
CA-80,m,2007,5,1
CA-84,m,2006,7,1
CA-88,m,2005,1,1
CA-9,m,2003,1,1
CA-97,m,2006,2,1
CA-1,f,2002,3,1
CA-1,f,2004,5,3
CA-1,f,2006,3,1
CA-1,f,2007,1,1
CA-102,f,2006,4,2
CA-102,f,2007,1,1
CA-113,f,2004,1,1
CA-113,f,2007,9,2
CA-124,f,2010,6,2
CA-16,f,2005,6,3
CA-2,f,2003,5,2
CA-30,f,2003,4,1
CA-30,f,2006,7,1
CA-42,f,2003,3,3
CA-42,f,2005,3,1
CA-44,f,2003,2,1
CA-44,f,2005,1,1
CA-46,f,2003,3,2
CA-46,f,2007,3,1
CA-47,f,2003,2,1
CA-47,f,2006,5,3
CA-47,f,2007,3,1
CA-58,f,2004,5,1
CA-58,f,2007,3,2
CA-61,f,2006,1,1
CA-63,f,2004,9,1
CA-66,f,2006,1,1
CA-81,f,2005,3,3
CA-93,f,2006,4,2
CA-94,f,2006,2,1
